Problem    link    node    thalweg     cell    elev
--> problem codes: 0=thalweg>cell elev, 1= difference <0.5, 2= difference<1.0, 3=difference>3.5
0        2      42   1424.510235   368   1424.295898
0        2      40   1432.209169   370   1431.339478
0        2      39   1436.026638   371   1435.426392
0        2      38   1439.719868   372   1439.350586
0        2      37   1443.321577   373   1442.328003
0        2      36   1446.871640   432   1446.262085
0        2      35   1450.339444   433   1449.864502
0        2      29   1474.165068   440   1473.574829
0        2      28   1479.066171   441   1478.632446
0        2      27   1484.301503   442   1482.494263
0        2      26   1489.788265   443   1488.013550
0        2      25   1495.559551   444   1492.272461
0        2      24   1501.381475   446   1500.123535
0        2      23   1507.159386   447   1505.756470
0        2      22   1512.869528   505   1511.332764
0        2      21   1519.443039   506   1517.365112
0        2      20   1527.101867   507   1523.063599
0        2      19   1535.008993   567   1531.944336
0        2      18   1543.419984   628   1541.822998
0        2      17   1552.300121   629   1551.445923
0        2      10   1621.330138   636   1619.122437
0        2       9   1633.690778   637   1631.832031
0        2       8   1646.634484   638   1645.461792
0        2       7   1659.536958   639   1659.212524
0        2       6   1672.433114   640   1668.907227
0        2       5   1685.248582   641   1682.132324
0        2      14   1579.961931   693   1578.599487
0        2      13   1589.621944   694   1589.243408
0        2      12   1599.802964   695   1595.088135
0        2       4   1697.923767   703   1694.923584
0        2       3   1712.608245   704   1707.930908
0        2       2   1729.790956   705   1720.802612
0        2       1   1747.314243   706   1738.531494
0        3      72   1369.434206   3551   1369.260376
0        3      82   1368.570127   3753   1367.580933
0        3      81   1368.667700   3753   1367.580933
0        3      81   1368.667700   3754   1367.583496
